X1,Y1,X2,Y2,X3,Y3,
Control,0.936957,Control,0.936957,47.16115,2076.69031,
Control,0.000089,Control,0.000089,1548.75111,16936.58828,
Control,0.000091,Control,0.000091,2283.48978,24186.44854,
Control,3.034358,Control,3.034358,106.68398,2648.93819,
Control,15.742892,Control,15.742892,3056.11133,32707.94036,
Control,0.657507,Control,0.657507,3663.14802,40374.29672,
Control,11.735382,Control,11.735382,191.53726,3462.91132,
Control,4.596437,Control,4.596437,4240.41232,47521.02048,
Control,0.875878,Control,0.875878,4692.26964,53976.96069,
Control,0.000035,Control,0.000035,645.75902,7811.69589,
Control,7.451882,Control,7.451882,,,
Control,0.467438,Control,0.467438,,,
Control,14.305516,Control,14.305516,,,
Stim,0.645258,Stim,0.645258,,,
Stim,0.704535,Stim,0.704535,,,
Stim,0.416956,Stim,0.416956,,,
Stim,0.246664,Stim,0.246664,,,
Stim,4.504365,Stim,4.504365,,,
Stim,1.147058,Stim,1.147058,,,
Stim,0.000616,Stim,0.000616,,,
Stim,0.418968,Stim,0.418968,,,
Stim,0.000479,Stim,0.000479,,,
Stim,0.667985,Stim,0.667985,,,C
Stim,1.346633,Stim,1.346633,,,
Stim,5.786631,Stim,5.786631,,,
Stim,0.529999,Stim,0.529999,,,
Stim,1.651941,Stim,1.651941,,,
Stim,0.878291,Stim,0.878291,,,
Stim,5.490525,Stim,5.490525,,,
Stim,7.442502,Stim,7.442502,,,
Stim,10.675427,Stim,10.675427,,,
Stim,10.600423,Stim,10.600423,,,
Stim,9.906115,Stim,9.906115,,,
Stim,13.640363,Stim,13.640363,,,
Stim,4.639574,Stim,4.639574,,,
Stim,23.387188,Stim,23.387188,,,
Stim,33.259827,Stim,33.259827,,,
,,Stim+Drug,1.871165,,,
,,Stim+Drug,0.628186,,,
,,Stim+Drug,1.632116,,,
,,Stim+Drug,2.511031,,,
,,Stim+Drug,2.570992,,,
,,Stim+Drug,2.820888,,,
,,Stim+Drug,0.739393,,,
,,Stim+Drug,2.112201,,,
,,Stim+Drug,1.874802,,,
,,Stim+Drug,2.016904,,,
,,Stim+Drug,2.180345,,,
,,Stim+Drug,2.204999,,,
,,Stim+Drug,1.982319,,,
,,Stim+Drug,3.350339,,,
,,Stim+Drug,2.753351,,,
,,Stim+Drug,2.225535,,,
,,Stim+Drug,0.511976,,,
,,Stim+Drug,2.449817,,,